,region,elapsed time
0,europe,02:01
0,europe,02:01
0,africa,00:09
0,middle_africa,00:00
0,middle_africa,00:00
0,middle_africa,00:00
0,middle_africa,00:00
0,middle_africa,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,europe,00:43
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:00
0,greenland,00:01
0,greenland,00:01
0,north_america,00:21
0,world,11:44
0,north_america,03:52
0,north_america,02:05
0,north_america,01:41
0,north_america,01:50
0,north_america,01:36
0,north_america,01:44
0,north_america,01:45
0,north_america,01:54
0,north_america,01:53
0,north_america,02:04
0,north_america,02:09
0,north_america,02:05
0,north_america,03:42
0,artificial,00:00
0,artificial,00:00
0,asia,00:16
0,asia,00:21
0,artificial,00:00
0,artificial,00:00
0,artificial,00:00
0,asia,00:08
0,asia,00:20
0,asia,00:13
0,asia,00:33
0,germany,00:02
0,north_america,03:49
0,south_america,00:17
0,germany,00:01
0,north_america,03:33
0,north_america,03:46
0,north_america,04:05
0,north_america,03:50
0,south_america,00:13
0,europe,04:28
0,asia,02:53
0,africa,01:23
0,australia,00:10
0,north_america,04:35
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:07
0,africa,01:15
0,africa,01:18
0,africa,01:21
0,africa,01:16
0,africa,01:22
0,europe,05:40
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:07
0,australia,00:08
0,australia,00:08
0,australia,00:07
0,australia,00:08
0,australia,00:08
0,australia,00:07
0,australia,00:07
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:07
0,australia,00:08
0,australia,00:07
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:07
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:09
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,australia,00:08
0,north_america,04:47
0,australia,00:12
0,asia,03:14
0,asia,02:33
0,australia,00:08
0,africa,05:52
0,africa,01:31
0,asia,02:53
0,australia,00:10
0,europe,05:54
0,north_america,04:09
0,south_america,00:16
0,africa,01:22
0,asia,02:28
0,australia,00:10
0,europe,05:14
0,north_america,04:16
0,south_america,00:19
0,africa,01:24
0,africa,01:35
0,africa,01:18
